molecule_chembl_id,molecule_pref_name,max_phase,full_mwt,num_ro5_violations,alogp,compound_key,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,activity_comment,uo_units,ligand_efficiency,ligand_efficiency_bei,ligand_efficiency_le,ligand_efficiency_lle,ligand_efficiency_sei,potential_duplicate,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_organism,assay_tissue_chembl_id,assay_tissue_name,assay_cell_type,assay_subcellular_fraction,assay_parameters,assay_variant_accession,assay_variant_mutation,target_chembl_id,target_pref_name,target_organism,target_type,document_chembl_id,src_id,src_description,document_journal,document_year,cell_chembl_id,properties,action_type,standard_text_value,value
CHEMBL1950045,,,154.16,0,0.63,,OCCc1ccc(O)c(O)c1,EC50,=,13800.0,nM,4.86,,,UO_0000065,,,,,,0,CHEMBL3418119,Antioxidant activity assessed as DPPH free radical scavenging activity incubated for 30 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3414459,1,,Eur J Med Chem,2015,,,,,13.8
CHEMBL146,BUTYLATED HYDROXYTOLUENE,2.0,220.36,0,4.30,,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,EC50,,,,,,Not Determined,,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,
CHEMBL50,QUERCETIN,3.0,302.24,0,1.99,,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,EC50,=,6100.0,nM,5.21,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,6.1
CHEMBL32571,,,272.26,0,2.51,,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,EC50,=,8600.0,nM,5.07,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,8.6
CHEMBL583912,(-)-EPICATECHIN,2.0,290.27,0,1.55,,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,EC50,=,4100.0,nM,5.39,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,4.1
CHEMBL66,(+)-TAXIFOLIN,,304.25,0,1.19,,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,EC50,=,11300.0,nM,4.95,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,11.3
CHEMBL3421652,,,590.49,3,3.11,,O=C1c2c(O)cc(O)c([C@@H]3C(=O)c4c(O)cc(O)cc4O[C@H]3c3ccc(O)c(O)c3)c2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,EC50,=,2800.0,nM,5.55,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,2.8
CHEMBL196,ASCORBIC ACID,4.0,176.12,0,-1.41,,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,EC50,=,24200.0,nM,4.62,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,24.2
CHEMBL502489,GARCINOL,,602.81,2,8.91,,C=C(C)[C@@H](CC=C(C)C)C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,EC50,=,15700.0,nM,4.80,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,15.7
CHEMBL458934,CAMBOGIN,,602.81,2,8.59,,CC(C)=CC[C@H]1C[C@@]23C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c4ccc(O)c(O)c4)=C2OC1(C)C)C3=O,EC50,=,83300.0,nM,4.08,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,83.3
CHEMBL1254294,JACAREUBIN,,326.30,0,3.25,,CC1(C)C=Cc2c(cc3oc4c(O)c(O)ccc4c(=O)c3c2O)O1,EC50,=,26300.0,nM,4.58,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,26.3
CHEMBL3422285,,,328.32,0,3.28,,CC(C)=CCc1c(O)cc2oc3c(O)c(O)ccc3c(=O)c2c1O,EC50,=,19700.0,nM,4.71,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,19.7
CHEMBL389166,,,228.20,0,2.36,,O=c1c2cc(O)ccc2oc2cccc(O)c12,EC50,=,80200.0,nM,4.10,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,80.2
CHEMBL3422284,,,480.38,2,2.37,,O=C1c2c(O)cc(O)c(-c3coc4cc(O)cc(O)c4c3=O)c2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,EC50,=,17500.0,nM,4.76,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,17.5
CHEMBL3422283,,,358.35,0,3.65,,COc1c(O)ccc2c1Oc1cc(O)c(CC=C(C)C)c(O)c1C(=O)O2,EC50,<=,45400.0,nM,,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,45.4
CHEMBL3422282,,,356.37,0,3.53,,COc1cc(C(=O)c2c(O)cc3c(c2OC)C=CC(C)(C)O3)ccc1O,EC50,<=,53400.0,nM,,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,53.4
CHEMBL3422281,,,590.49,3,3.11,,O=C1c2c(cc(O)c([C@@H]3C(=O)c4c(O)cc(O)cc4O[C@H]3c3ccc(O)c(O)c3)c2O)O[C@H](c2ccc(O)c(O)c2)[C@H]1O,EC50,=,8500.0,nM,5.07,,,UO_0000065,,,,,,0,CHEMBL3423601,Antioxidant activity assessed as H2O2 scavenging activity after 15 mins,P,BAO_0000100,small-molecule physicochemical format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3421535,1,,J Nat Prod,2015,,,,,8.5
CHEMBL3932223,,,752.73,4,6.49,,CC1(C)C=Cc2c(O)c(Cc3c(O)c4c(c(C(=O)/C=C/c5ccc(O)c(O)c5O)c3O)OC(C)(C)C=C4)c(O)c(C(=O)/C=C/c3ccc(O)c(O)c3O)c2O1,EC50,=,540.0,nM,6.27,,,UO_0000065,,,,,,0,CHEMBL3877923,Antioxidant activity assessed as ABTS radical scavenging activity measured after 10 mins by ABTS assay,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3877262,1,,Eur J Med Chem,2017,,,,,0.54
CHEMBL288114,GALLIC ACID,2.0,170.12,0,0.50,,O=C(O)c1cc(O)c(O)c(O)c1,EC50,=,350.0,nM,6.46,,,UO_0000065,,,,,,0,CHEMBL3877923,Antioxidant activity assessed as ABTS radical scavenging activity measured after 10 mins by ABTS assay,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL3877262,1,,Eur J Med Chem,2017,,,,,0.35
CHEMBL3745877,,,348.40,0,3.13,,O=C(OC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,=,330.0,nM,6.48,,,UO_0000065,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,0.33
CHEMBL3747483,,,348.40,0,2.99,,O=C(OC1C2CC3CC(C2)CC1C3)c1cc(N(O)C2CCCO2)on1,IC50,=,10540.0,nM,4.98,,,UO_0000065,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,10.54
CHEMBL3746867,,,376.45,0,3.77,,O=C(OCCC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,=,3150.0,nM,5.50,,,UO_0000065,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,3.15
CHEMBL3746578,,,392.45,0,3.15,,O=C(OCCOC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,,,,,,Not Active,,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,
CHEMBL3747650,,,434.49,0,3.45,,CC(C)OC(=O)C12CC3CC(CC(OC(=O)c4cc(N(O)C5CCCO5)on4)(C3)C1)C2,IC50,=,2740.0,nM,5.56,,,UO_0000065,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,2.74
CHEMBL3746445,,,438.52,0,4.83,,O=C(OCc1ccc(C23CC4CC(CC(C4)C2)C3)cc1)c1cc(N(O)C2CCCO2)on1,IC50,=,3410.0,nM,5.47,,,UO_0000065,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,3.41
CHEMBL3746105,,,376.45,0,3.91,,CC12CC3CC(C)(C1)CC(OC(=O)c1cc(N(O)C4CCCO4)on1)(C3)C2,IC50,=,5160.0,nM,5.29,,,UO_0000065,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,5.16
CHEMBL3746662,,,362.43,0,3.38,,O=C(OCC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,=,6580.0,nM,5.18,,,UO_0000065,,,,,,0,CHEMBL3749641,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(II)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,6.58
CHEMBL3745877,,,348.40,0,3.13,,O=C(OC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,=,1370.0,nM,5.86,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,1.37
CHEMBL3747483,,,348.40,0,2.99,,O=C(OC1C2CC3CC(C2)CC1C3)c1cc(N(O)C2CCCO2)on1,IC50,=,1210.0,nM,5.92,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,1.21
CHEMBL3746867,,,376.45,0,3.77,,O=C(OCCC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,=,5250.0,nM,5.28,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,5.25
CHEMBL3746578,,,392.45,0,3.15,,O=C(OCCOC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,=,35000.0,nM,4.46,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,35.0
CHEMBL3747650,,,434.49,0,3.45,,CC(C)OC(=O)C12CC3CC(CC(OC(=O)c4cc(N(O)C5CCCO5)on4)(C3)C1)C2,IC50,=,1580.0,nM,5.80,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,1.58
CHEMBL3746445,,,438.52,0,4.83,,O=C(OCc1ccc(C23CC4CC(CC(C4)C2)C3)cc1)c1cc(N(O)C2CCCO2)on1,IC50,=,5450.0,nM,5.26,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,5.45
CHEMBL3746105,,,376.45,0,3.91,,CC12CC3CC(C)(C1)CC(OC(=O)c1cc(N(O)C4CCCO4)on1)(C3)C2,IC50,=,1480.0,nM,5.83,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,1.48
CHEMBL3746662,,,362.43,0,3.38,,O=C(OCC12CC3CC(CC(C3)C1)C2)c1cc(N(O)C2CCCO2)on1,IC50,=,22000.0,nM,4.66,,,UO_0000065,,,,,,0,CHEMBL3749643,Antioxidant activity in albino rat brain homogenate assessed as inhibition of Fe(III)-induced lipid peroxidation after 60 mins by TBARS assay,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL613617,Brain,Rattus norvegicus,,CHEMBL3745668,1,,Bioorg Med Chem,2016,,,,,22.0
CHEMBL1451874,LECANORIC ACID,,318.28,0,2.34,,Cc1cc(OC(=O)c2c(C)cc(O)cc2O)cc(O)c1C(=O)O,Activity,<,50.0,%,,,,UO_0000187,,,,,,0,CHEMBL4001979,Antioxidant activity assessed as DPPH radical scavenging activity at 100 ug/ml after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4000243,1,,Bioorg Med Chem Lett,2017,,,,,50.0
CHEMBL4098463,,,384.38,0,4.72,,Cc1cc(O)c(Oc2cc(C)cc(Oc3cc(C)cc(O)c3O)c2O)c(O)c1,Activity,=,81.3,%,,,,UO_0000187,,,,,,0,CHEMBL4001979,Antioxidant activity assessed as DPPH radical scavenging activity at 100 ug/ml after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4000243,1,,Bioorg Med Chem Lett,2017,,,,,81.3
CHEMBL4064905,,,384.38,0,4.72,,Cc1cc(O)c(Oc2cc(C)cc(O)c2Oc2cc(C)cc(O)c2O)c(O)c1,Activity,=,81.3,%,,,,UO_0000187,,,,,,0,CHEMBL4001979,Antioxidant activity assessed as DPPH radical scavenging activity at 100 ug/ml after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4000243,1,,Bioorg Med Chem Lett,2017,,,,,81.3
CHEMBL4086365,,,384.38,0,4.72,,Cc1cc(O)c(O)c(Oc2cc(C)cc(O)c2Oc2cc(C)cc(O)c2O)c1,Activity,=,81.3,%,,,,UO_0000187,,,,,,0,CHEMBL4001979,Antioxidant activity assessed as DPPH radical scavenging activity at 100 ug/ml after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4000243,1,,Bioorg Med Chem Lett,2017,,,,,81.3
CHEMBL4073505,,,332.31,0,2.99,,COC(=O)c1c(C)cc(Oc2cc(O)cc(C)c2C(=O)O)cc1O,Activity,<,50.0,%,,,,UO_0000187,,,,,,0,CHEMBL4001979,Antioxidant activity assessed as DPPH radical scavenging activity at 100 ug/ml after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4000243,1,,Bioorg Med Chem Lett,2017,,,,,50.0
